"","Estimate","Std. Error","t value","Pr(>|t|)"
"BsmtUnfSF",0.000071628311286871,0.0000369224475309247,1.9399664994277,0.0527305519276784
"LotArea",0.00000475571332326206,0.00000122354483595301,3.88683208291086,0.000109867915930207
"MSSubClass",-0.000935219583815674,0.000437154520656892,-2.13933412471719,0.0327069398627499
"Condition1_Feedr",-0.0348258748137535,0.0164879892304812,-2.11219660123087,0.0349751317567343
"Neighborhood_Edwards",-0.0426359083542864,0.0182361055217207,-2.3379941678613,0.0196300870028952
"Neighborhood_OldTown",-0.044933199167358,0.0264603972768899,-1.69813017911874,0.0898672629107696
"KitchenAbvGr",-0.0572935655733725,0.0297317680930292,-1.92701508346574,0.0543272355339352
"Condition1_Artery",-0.0722363703558376,0.0206949530206353,-3.49053077259027,0.000508119930225047
"SaleCondition_Abnorml",-0.0760422652836484,0.0146253722585951,-5.19933878872447,0.000000253444386024032
"CentralAir_N",-0.080458090255595,0.0204846202757082,-3.92773159437116,0.0000930571623661056
"GarageType_2Types",-0.0930878169745659,0.0536974988009975,-1.73355964529276,0.0833767721162689
"Exterior2nd_Stucco",-0.119060273091036,0.0624409956109021,-1.90676448903784,0.0569046532028516
"Condition1_RRAe",-0.121328057487843,0.0460084058847002,-2.63708457519476,0.00852244765793039
"Neighborhood_MeadowV",-0.127688098511094,0.0441059840412262,-2.89502890110654,0.00389315834017003
"Condition2_Feedr",-0.129379092623097,0.064919600456313,-1.99291264446647,0.0466061246737934
"Heating_Grav",-0.166456026653355,0.0571562887945736,-2.91229591990512,0.00368640466194842
"Exterior1st_BrkComm",-0.231275306726111,0.125662499249635,-1.84044808998006,0.0660681254192275
"Foundation_Wood",-0.235525260162917,0.0804141546364575,-2.92890301748116,0.00349703856042947
"`MSZoning_C (all)`",-0.583297960230601,0.0582580118727548,-10.0123217645089,0.000000000000000000000250843350232009
"Condition2_PosN",-1.13151679899692,0.150539484693079,-7.51641206494011,0.000000000000149266756782938
"RoofMatl_ClyTile",-1.62362677154641,0.232457934701473,-6.98460464957458,0.00000000000595919506918096
